example,condition,source,source_offset_seconds,applied_gain,output,sha256,sample_rate_hz,channels,duration_seconds
ballet-egyptian,input,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_ballet_egyptian_110/INPUT.wav,0,0.891250938,public/audio/historical/ballet-egyptian/input.mp3,e6b611f617ab2c62209e1e66996d66f579bfeed1a3e9fb4f8dad7b555022720c,44100,2,5.041633
ballet-egyptian,babe2-p,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_ballet_egyptian_110/BABE2_PRETRAINED.wav,0,0.891250938,public/audio/historical/ballet-egyptian/babe2-p.mp3,6138c04fd87a36a3a2e4165e7839da1a6e24a3f58d38b30b8b1c46439ed6be6f,44100,2,5.041633
ballet-egyptian,babe2-fms,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_ballet_egyptian_110/BABE2_FMS.wav,0,0.891250938,public/audio/historical/ballet-egyptian/babe2-fms.mp3,dd880a6b35a1abf6d080b59c0e0bbee6b2a3c2c0cf86a9aec52a099c1f514309,44100,2,5.041633
ballet-egyptian,samecfm,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_ballet_egyptian_110/CFM40.wav,0,0.891250938,public/audio/historical/ballet-egyptian/samecfm.mp3,a87d6a26abe2e8bb338a8d9f1b9236a5b3e43f14c51c40b163530ee330b41076,44100,2,5.041633
ballet-egyptian,behm-p,/data/steven/restor/IA_test_set_inference_outputs/behm/denoiser_only_44k_compat/78_ballet-egyptian-nos-1-and-2_american-symphony-orchestra-alexandre-luigini_gbia0078132a.flac,110.0,0.87342591924,public/audio/historical/ballet-egyptian/behm-p.mp3,e6fb76cc50a03072ed46f56889217f8298c88ab86500b19ad5c98e685a7927e7,44100,2,5.041633
ballet-egyptian,behm-fms,/data/steven/restor/IA_test_set_inference_outputs/behm/fms_leakless/78_ballet-egyptian-nos-1-and-2_american-symphony-orchestra-alexandre-luigini_gbia0078132a.flac,110.0,0.87342591924,public/audio/historical/ballet-egyptian/behm-fms.mp3,bc2b4dc54322014bb38c491acead5d65a018885ee38511579a92499d4de11f1c,44100,2,5.041633
rigoletto,input,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_rigoletto_75/INPUT.wav,0,0.891250938,public/audio/historical/rigoletto/input.mp3,9ec5a09737f8791bdc96e758ff6ef3da30e6413c4bfdefd8f1ad2b0f6a264bce,44100,2,5.041633
rigoletto,babe2-p,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_rigoletto_75/BABE2_PRETRAINED.wav,0,0.891250938,public/audio/historical/rigoletto/babe2-p.mp3,88cdb08f4f1fdae34ee933496e7873a9aacd342b03805158aea4067e8fe37f04,44100,2,5.041633
rigoletto,babe2-fms,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_rigoletto_75/BABE2_FMS.wav,0,0.891250938,public/audio/historical/rigoletto/babe2-fms.mp3,c0f83ea8573b78f2dde34e988d624b9bf806b3f1ac4fcd892b1c4df9bd81acdb,44100,2,5.041633
rigoletto,samecfm,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/orchestra_rigoletto_75/CFM40.wav,0,0.891250938,public/audio/historical/rigoletto/samecfm.mp3,fef7de6b017db6140b43d792f5b0a19c007b55fa30ee44ddc8570a516c163958,44100,2,5.041633
