category,condition,ratings,participants,participant_mean,participant_mean_sd,ci95_low,ci95_high
orchestra,INPUT,32,16,1.5,0.8944271909999159,1.0233933925517307,1.9766066074482693
light_orchestra,INPUT,32,16,1.3125,0.873212459828649,0.847197924830273,1.777802075169727
overall,INPUT,64,16,1.40625,0.8702250666733674,0.9425397942760814,1.8699602057239186
orchestra,BABE2_PRETRAINED,32,16,3.5,0.8366600265340756,3.0541753416639787,3.9458246583360213
light_orchestra,BABE2_PRETRAINED,32,16,3.71875,0.729583214353693,3.329982547329445,4.107517452670555
overall,BABE2_PRETRAINED,64,16,3.609375,0.7069226148124937,3.232682528477995,3.986067471522005
orchestra,BABE2_FMS,32,16,2.75,0.7071067811865476,2.3732093931444243,3.1267906068555757
light_orchestra,BABE2_FMS,32,16,2.96875,0.8260094833999587,2.5286006154947733,3.4088993845052267
overall,BABE2_FMS,64,16,2.859375,0.6829394189823867,2.4954622714412835,3.2232877285587165
orchestra,CFM40,32,16,3.78125,0.6574889099191459,3.430898890435561,4.131601109564439
light_orchestra,CFM40,32,16,4.15625,0.4732423621500228,3.904076945563925,4.408423054436075
overall,CFM40,64,16,3.96875,0.4819664580307085,3.711928203013848,4.225571796986152
orchestra,CFM40_GRAMOPHONE_ONLY,32,16,3.4375,0.75,3.037853210207542,3.837146789792458
light_orchestra,CFM40_GRAMOPHONE_ONLY,32,16,3.375,0.6454972243679028,3.031038808615234,3.718961191384766
overall,CFM40_GRAMOPHONE_ONLY,64,16,3.40625,0.5618051263561058,3.1068851796837813,3.7056148203162187
clean_reference,GROUND_TRUTH,64,16,4.40625,0.375,4.206426605103771,4.606073394896229
overall,GROUND_TRUTH,64,16,4.40625,0.375,4.206426605103771,4.606073394896229
