category,candidate_condition,ratings,participants,participant_mean,participant_mean_sd,ci95_low,ci95_high
full_orchestra,BABE2_PRETRAINED,32,16,3.875,1.0567244989431572,3.3119112617364315,4.438088738263569
light_orchestra,BABE2_PRETRAINED,32,16,3.71875,0.9826622003516773,3.195126274905412,4.242373725094588
overall,BABE2_PRETRAINED,64,16,3.796875,0.9319278852643768,3.3002856831146903,4.293464316885309
full_orchestra,BABE2_FOS,32,16,3.96875,0.7409172243465078,3.5739430797173064,4.363556920282694
light_orchestra,BABE2_FOS,32,16,3.90625,0.5543389456520863,3.6108636265509437,4.201636373449056
overall,BABE2_FOS,64,16,3.9375,0.5361902647381804,3.6517843759725572,4.223215624027443
full_orchestra,CFM40,32,16,4.25,0.6582805886043833,3.899227034642091,4.600772965357908
light_orchestra,CFM40,32,16,4.5,0.6831300510639732,4.135985690775367,4.864014309224633
overall,CFM40,64,16,4.375,0.5244044240850758,4.0955646071485825,4.6544353928514175
full_orchestra,CFM40_GRAMOPHONE_ONLY,32,16,4.46875,0.46435439052516775,4.221313011334111,4.716186988665889
light_orchestra,CFM40_GRAMOPHONE_ONLY,32,16,4.4375,0.5439056290693574,4.147673148523179,4.727326851476821
overall,CFM40_GRAMOPHONE_ONLY,64,16,4.453125,0.36763602924631855,4.257225588132884,4.649024411867116
